There are 11,466 different words in the collocation database for this query (Query "{stellen/V}", restricted to texts meeting criteria "<em>Year</em>: <em>2011</em>",  returned 4,993 matches in 3,896 different texts)  
__________________

No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
256	Bahn	972	5.401	5	5
257	Beamten	429	2.384	5	5
258	Bedrohung	165	0.917	5	5
259	Beteiligten	256	1.423	5	4
260	Beweisanträge	7	0.039	5	5
261	Brief	501	2.784	5	5
262	Bücher	449	2.495	5	4
263	Bürgerschaft	455	2.528	5	5
264	Entscheidung	1323	7.352	5	5
265	Entwicklung	972	5.401	5	5
266	Ergebnisse	435	2.417	5	5
267	Familie	1659	9.219	5	5
268	Fernsehen	647	3.595	5	5
269	Forderung	541	3.006	5	5
270	Freund	638	3.545	5	5
271	Fukushima	1277	7.096	5	5
272	Fußballturnier	11	0.061	5	5
273	Fällen	495	2.751	5	5
274	Gedanken	477	2.651	5	5
275	Gesicht	748	4.156	5	5
276	Gewerkschaft	425	2.362	5	5
277	Gott	451	2.506	5	5
278	Hand	1228	6.824	5	5
279	Hochschulen	286	1.589	5	5
280	Institutionen	279	1.55	5	5
281	Kampf	1082	6.012	5	5
282	Kandidaten	359	1.995	5	5
283	Kind	989	5.496	5	5
284	Körper	536	2.978	5	5
285	Laden	681	3.784	5	5
286	Migranten	418	2.323	5	5
287	Modell	376	2.089	5	5
288	Museum	582	3.234	5	5
289	Namen	1422	7.902	5	5
290	Nord	331	1.839	5	5
291	Norden	714	3.968	5	5
292	Oberhaupt	30	0.167	5	5
293	Personal	356	1.978	5	4
294	Polizisten	1010	5.612	5	5
295	Probleme	1171	6.507	5	5
296	Protest	740	4.112	5	5
297	Prozess	956	5.312	5	5
298	Präsident	1853	10.297	5	5
299	Präsidenten	864	4.801	5	4
300	Publikum	834	4.634	5	5
301	Rahmen	708	3.934	5	5
302	Richtung	881	4.895	5	5
303	Roman	563	3.128	5	5
304	Räume	298	1.656	5	5
305	Sache	991	5.507	5	5
306	Schritt	703	3.906	5	4
307	Schule	1326	7.368	5	5
308	Senatoren	53	0.295	5	5
309	Shawkat	12	0.067	5	5
310	Stadtrat	115	0.639	5	5
311	Stück	934	5.19	5	4
312	Text	606	3.367	5	5
313	Texte	400	2.223	5	5
314	Themen	739	4.106	5	5
315	Tor	528	2.934	5	5
316	Verbindung	346	1.923	5	5
317	Verein	822	4.568	5	5
318	Vergangenheit	645	3.584	5	5
319	Video	258	1.434	5	5
320	Waffen	472	2.623	5	5
321	Weise	846	4.701	5	5
322	Wissenschaft	444	2.467	5	5
323	Wochen	2166	12.036	5	5
324	Wort	1103	6.129	5	5
325	Zahlen	740	4.112	5	5
